unique_id,osmid,element_type,amenity,cuisine,facilities,name,level,addr:street,diet:vegetarian,name:en,name:nl,addr:city,addr:country,addr:postcode,addr:state,outdoor_seating,phone,email,opening_hours,internet_access,website,name:fr,toilets:wheelchair,wheelchair,facebook,contact:facebook,name:he,name:ru,nodes,building,timestamp,completeness_score
node/1892815646,1892815646,node,bar,Wine Bar,winery,Vesper House,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-15T17:17:02Z,1.0
node/2002392575,2002392575,node,bar,,,Salsa Bar,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-08T10:28:05Z,1.0
node/2684769719,2684769719,node,bar,,,crazy dance bar,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-22T09:31:13Z,1.0
node/3331703762,3331703762,node,bar,,,Unique Bar,1,,,,,,,,,,,,,,,,,,,,,,,,2015-02-05T11:41:33Z,1.0
node/3416542473,3416542473,node,bar,ramen;breakfast;local;pasta;pizza;curry;indian,,Café des arts,,Bhagwan Bahal Marga,yes,Bonsai restro & bar,Bonsai restro & bar,,,,,,,,,,,,,,,,,,,,2020-11-27T21:04:25Z,1.0
node/3448046467,3448046467,node,bar,,,Cheers Bar,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-22T04:42:28Z,1.0
node/3605488689,3605488689,node,bar,,,Maya Cocktail Bar,,,,,,Kathmandu,NP,00977,Central Region,no,4700371,,,,,,,,,,,,,,2015-06-19T16:02:25Z,1.0
node/4012267067,4012267067,node,bar,,,Shisha terrace Cafe n' Bar,,,,,,,,,,,01-4701104,,,,,,,,,,,,,,2016-02-18T08:48:20Z,1.0
node/4104026289,4104026289,node,bar,,,Roots Restro and Bar Nepal,,Narsingh Chowk,,,,,,,,,977014700490,rootsbarnepal@gmail.com,Su-Th 12:00-23:30; Fr 12:00-00:00; Sa 13:00-00:00,,,,,,,,,,,,2016-04-19T16:43:08Z,1.0
node/4327597890,4327597890,node,bar,asian;american;chicken;curry;indian;international;noodles,,Purple Haze,,Chaksibari Marg,,,,,,,,,,,Mo-Su 17:00-00:00,wlan,https://www.purplehazerockbar.com/,,,,,,,,,,2019-03-27T21:25:54Z,1.0
node/4477409493,4477409493,node,bar,,,,,,,Roots,,,,,,,9851182528,,,,,,,,,,,,,,2016-11-02T18:04:34Z,1.0
node/4527629090,4527629090,node,bar,,,,,,,Jazz Upstairs,,,,,,,,,,wlan,,,,,,,,,,,2017-02-11T14:05:48Z,1.0
node/4555545492,4555545492,node,bar,,,,,,,Artmundo lounge,,,,,,,,,,,,,,,,,,,,,2016-12-15T13:45:31Z,1.0
node/4665021794,4665021794,node,bar,,,,,,,Small Star,,,,,,,,,,,,,,,,,,,,,2017-03-13T08:15:28Z,1.0
node/4675917591,4675917591,node,bar,,,,,,,Dorje restaurant,,,,,,,,,,,,,,,,,,,,,2017-02-09T05:27:10Z,1.0
node/4697090889,4697090889,node,bar,,,,,,,House of Music,House of Music,,,,,,,,,,,,,,,,,,,,2017-02-21T10:46:14Z,1.0
node/4762401054,4762401054,node,bar,,,,,,,Hole In The Wall,,,,,,,,,,,,,,,,,,,,,2017-03-29T17:34:06Z,1.0
node/4774872364,4774872364,node,bar,,,,,,,Beta House,,,,,,,,,,,,,,,,,,,,,2017-04-04T14:22:45Z,1.0
node/4774887621,4774887621,node,bar,,,,,,,Club Déjà Vu,,,,,,,,,,,,,,,,,,,,,2017-04-04T14:10:59Z,1.0
node/4815643023,4815643023,node,bar,,,,,Potter Square,,Pottery Café,,,,977,,,+9779843269656,,Mo-Su 08:00-22:00,wlan,,,,,,,,,,,2017-04-25T13:40:39Z,1.0
node/4830990522,4830990522,node,bar,,,,,,,Tiffany Restaurant & Bar,,,,,,,,,,,,,,,,,,,,,2018-11-21T07:09:35Z,1.0
node/4858983921,4858983921,node,bar,,,Black & White Bar,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-17T05:54:12Z,1.0
node/4924452317,4924452317,node,bar,,,Potion Beverage House,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-20T05:36:10Z,1.0
