unique_values,counts
2010-11,1
2011-5,1
2011-7,1
2012-10,6
2012-11,2
2012-12,9
2012-9,8
2013-1,7
2013-10,2
2013-2,6
2013-3,2
2013-4,2
2013-5,3
2014-10,4
2014-11,4
2014-12,6
2014-2,5
2014-3,3
2014-4,2
2014-5,2
2014-8,2
2014-9,12
2015-1,3
2015-10,3
2015-11,1
2015-12,1
2015-2,7
2015-3,3
2015-4,10
2015-5,11
2015-6,2
2015-7,25
2015-8,1
2015-9,1
2016-10,5
2016-11,15
2016-12,14
2016-2,1
2016-3,1
2016-4,3
2016-5,3
2016-6,6
2016-7,9
2016-8,10
2016-9,5
2017-1,10
2017-10,8
2017-11,9
2017-12,12
2017-2,6
2017-3,23
2017-4,15
2017-5,10
2017-6,27
2017-7,15
2017-8,4
2017-9,10
2018-1,15
2018-10,16
2018-11,31
2018-12,15
2018-2,10
2018-3,6
2018-4,3
2018-5,7
2018-6,3
2018-8,4
2018-9,8
2019-1,7
2019-10,3
2019-11,3
2019-12,9
2019-2,6
2019-3,15
2019-4,6
2019-5,4
2019-6,14
2019-7,6
2019-8,3
2019-9,9
2020-1,8
2020-10,3
2020-11,8
2020-12,7
2020-2,6
2020-3,62
2020-4,3
2020-5,11
2020-6,2
2020-7,1
2020-8,4
