unique_values,counts
2009-11,1
2010-11,1
2010-8,1
2011-12,1
2011-7,3
2011-9,1
2012-10,4
2012-11,1
2012-12,1
2012-9,1
2013-1,3
2013-10,1
2013-12,2
2013-2,5
2013-3,4
2013-4,2
2013-5,1
2013-6,1
2013-7,1
2014-10,3
2014-6,1
2014-9,3
2015-1,1
2015-12,7
2015-4,8
2015-5,4
2015-6,2
2015-7,1
2015-8,1
2015-9,2
2016-10,3
2016-11,4
2016-12,3
2016-4,1
2016-5,2
2016-6,2
2016-7,1
2016-8,11
2016-9,5
2017-1,3
2017-10,2
2017-11,10
2017-12,2
2017-2,3
2017-3,17
2017-4,5
2017-5,5
2017-6,3
2017-7,4
2017-8,9
2017-9,1
2018-1,6
2018-10,8
2018-11,11
2018-12,1
2018-2,1
2018-3,7
2018-4,7
2018-5,12
2018-6,6
2018-7,4
2018-8,1
2018-9,3
2019-1,3
2019-10,2
2019-11,4
2019-12,3
2019-2,5
2019-3,8
2019-4,7
2019-5,7
2019-6,2
2019-7,2
2019-9,2
2020-1,4
2020-10,3
2020-12,1
2020-2,1
2020-3,3
2020-4,2
2020-5,1
2020-7,1
