unique_id,osmid,element_type,ele,name,tourism,name:en,created_by,stars,wikidata,toilets:wheelchair,website,wheelchair,addr:city,addr:street,internet_access,internet_access:fee,rooms,smoking,name:zh,opening_hours,email,contact:phone,contact:website,addr:country,phone,operator,name:ja,shop,amenity,building,designation,addr:postcode,addr:state,barrier,hotel,addr:housenumber,source,stairs,contact:email,cuisine,name:es,name:fr,description,historic,name:ru,payment:cash,payment:credit_cards,payment:debit_cards,name:nl,toilet:seated,brand,number,contact:facebook,delivery,name:it,name:hi,addr:place,nodes,fax,name:ne,area,amenity_1,building:adjacency,building:gable_wall,building:levels,building:overhang,building:soft_storey,building:structure,building:use,floor:material:type,roof:material:type,shape:elevation,shape:plan,building:age,building:condition,building:geological_site,building:lateral:material,building:lateral:system,building:levels:underground,capacity:persons,roof:material,roof:shape,fixme,contact:fax,internet_access:ssid,landuse,beds,capacity,level,addr:tole,addr:ward,name:kn,name:ur,start_date,brand:wikidata,brand:wikipedia,building:part,note,addr:district,addr:province,ways,type,name:de,timestamp,completeness_score
node/316984536,316984536,node,1979,Madhuban,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-14T05:05:45Z,1.0
node/317040754,317040754,node,,Nirvana Garden Hotel,hotel,Hotel Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-04T02:52:48Z,1.0
node/339102258,339102258,node,,Dakshinkali Resort,hotel,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-03-01T11:31:41Z,1.0
node/354456043,354456043,node,,Family guesthouse,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-17T11:30:44Z,1.0
node/553319545,553319545,node,,Hotel Arniko,hotel,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-03T19:46:11Z,1.0
node/558561826,558561826,node,,Hotel Shanker,hotel,,,4,Q7763653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20T03:43:33Z,1.0
node/671300772,671300772,node,,Himalaya Apartments,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-15T01:23:18Z,1.0
node/845563398,845563398,node,,Taishan Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-30T09:13:42Z,1.0
node/849979315,849979315,node,,Nagarkot Paradise Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-28T20:09:45Z,1.0
node/849979321,849979321,node,,The Fort,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-14T05:05:46Z,1.0
node/943246297,943246297,node,,Pilgrim's Guesthouse,hotel,,,,,no,http://www.pilgrimsguesthouse.com/,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-02T03:19:53Z,1.0
node/943246301,943246301,node,,Avalon House KTM,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-10-10T07:16:23Z,1.0
node/943246319,943246319,node,,Kumari Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T22:07:27Z,1.0
node/943246321,943246321,node,,Hotel Manang,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T22:07:27Z,1.0
node/943246322,943246322,node,,Tenki,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-04T22:07:27Z,1.0
