unique_values,counts
2009-11,1
2009-3,1
2010-10,1
2010-11,1
2011-11,7
2011-6,1
2011-7,17
2011-8,1
2012-10,4
2012-11,1
2012-12,1
2012-3,1
2012-7,3
2012-8,1
2013-1,3
2013-10,1
2013-12,2
2013-2,2
2013-3,5
2013-8,1
2014-10,1
2014-2,1
2014-3,2
2014-4,2
2014-7,1
2014-8,2
2014-9,9
2015-1,28
2015-11,1
2015-12,3
2015-2,3
2015-4,27
2015-5,12
2015-7,6
2015-8,1
2015-9,3
2016-10,6
2016-11,9
2016-12,8
2016-4,3
2016-5,2
2016-6,4
2016-7,4
2016-8,6
2016-9,5
2017-1,9
2017-10,10
2017-11,16
2017-12,2
2017-2,5
2017-3,10
2017-4,14
2017-5,18
2017-6,12
2017-7,3
2017-8,6
2017-9,16
2018-1,10
2018-10,10
2018-11,32
2018-12,11
2018-2,4
2018-3,9
2018-4,4
2018-5,7
2018-6,3
2018-7,1
2018-8,4
2018-9,8
2019-1,7
2019-10,8
2019-11,6
2019-12,15
2019-2,8
2019-3,34
2019-4,6
2019-5,12
2019-6,8
2019-7,3
2019-9,8
2020-1,2
2020-10,1
2020-11,3
2020-12,2
2020-2,1
2020-3,7
2020-4,1
2020-5,10
2020-6,3
2020-7,4
2020-9,2
