unique_id,osmid,element_type,amenity,building,int_name,name,cuisine,phone,source,shop,diet:vegetarian,email,internet_access,name:en,opening_hours,operator,website,name:ja,designation,alt_name,addr:street,tourism,addr:city,addr:housename,addr:housenumber,internet_access:fee,contact:phone,building:level,capacity,banquet,description,delivery,outdoor_seating,takeaway,toilets:wheelchair,wheelchair,addr:country,addr:postcode,addr:state,smoking,contact:email,brand,brand:wikidata,brand:wikipedia,addr:district,bar,lounge,wifi,note,barrier,diet:vegan,level,source:name,fixme,name:hi,microbrewery,name:ko,name:de,name:tr,access,name:uk,outdoor facilities,party hall,name:es,contact:website,payment:cash,amenity_1,phone_1,name:ne,name:fr,name:ru,name:it,name:nl,facebook,toilet:seated,name:jp,ele,payment:coins,diet:meat,diet:organic,opening_hours:covid19,contact:facebook,name:he,nodes,addr:place,stars,building:adjacency,building:age,building:condition,building:geological_site,building:lateral:material,building:lateral:system,building:levels,building:levels:underground,capacity:persons,roof:material,roof:shape,location,municipality,ward,CONS_TYPE,building:use,building_count,operator:type,building:gable_wall,building:overhang,building:soft_storey,building:structure,floor:material:type,roof:material:type,shape:elevation,shape:plan,opening_hours:kitchen,kll:oid,sport,Household_Code,Household_Info_By,payment:visa,leisure,addr:tole,addr:ward,layer,ways,type,timestamp,completeness_score
node/313140391,313140391,node,restaurant,yes,Moskva Restaurant,Wunjala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-19T08:13:37Z,1.0
node/432195178,432195178,node,restaurant,,,Mustang Thakali Kitchen,regional,9841202776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-25T11:44:12Z,1.0
node/558559377,558559377,node,restaurant,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-05-06T18:22:28Z,1.0
node/560500319,560500319,node,restaurant,,,Baudha-Kitchen,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-06T09:22:19Z,1.0
node/564125542,564125542,node,restaurant,,,Dakshinkali Resort,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-14T20:11:00Z,1.0
node/568545483,568545483,node,restaurant,,,Kathmandu Kitchen,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-31T08:03:50Z,1.0
node/616689295,616689295,node,restaurant,,,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-01T21:18:14Z,1.0
node/616689516,616689516,node,restaurant,,,Snowland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-01-19T14:00:08Z,1.0
node/669249210,669249210,node,restaurant,,,DanRan Japanese Restaurant,japanese,015521027,local_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-12T07:03:20Z,1.0
node/669259323,669259323,node,restaurant,,,KFC Branch Thapathali,,,,department_store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-14T10:51:40Z,1.0
