unique_values,counts
2009-11,1
2010-1,1
2010-12,1
2010-5,1
2011-11,1
2011-12,1
2012-10,10
2012-11,9
2012-12,14
2012-5,2
2012-7,4
2012-8,2
2012-9,17
2013-1,12
2013-10,4
2013-11,5
2013-12,3
2013-2,13
2013-3,4
2013-4,1
2013-5,2
2013-6,4
2013-7,1
2013-9,4
2014-1,3
2014-10,8
2014-11,4
2014-12,1
2014-2,8
2014-3,1
2014-5,5
2014-6,3
2014-7,2
2014-8,1
2014-9,16
2015-1,6
2015-10,6
2015-11,1
2015-12,6
2015-2,21
2015-3,4
2015-4,25
2015-5,15
2015-6,3
2015-7,62
2015-8,1
2015-9,3
2016-1,2
2016-10,8
2016-11,12
2016-12,25
2016-3,1
2016-4,7
2016-5,5
2016-6,13
2016-7,7
2016-8,17
2016-9,13
2017-1,22
2017-10,23
2017-11,18
2017-12,14
2017-2,13
2017-3,48
2017-4,42
2017-5,19
2017-6,51
2017-7,28
2017-8,14
2017-9,20
2018-1,18
2018-10,49
2018-11,78
2018-12,25
2018-2,8
2018-3,16
2018-4,17
2018-5,19
2018-6,10
2018-7,6
2018-8,6
2018-9,9
2019-1,8
2019-10,13
2019-11,10
2019-12,11
2019-2,23
2019-3,14
2019-4,14
2019-5,22
2019-6,18
2019-7,10
2019-8,5
2019-9,10
2020-1,11
2020-10,5
2020-11,31
2020-12,18
2020-2,12
2020-3,30
2020-4,4
2020-5,22
2020-6,10
2020-7,3
2020-8,12
2020-9,2
