unique_values,counts
2011-7,1
2012-10,40
2012-12,8
2012-9,5
2013-1,13
2013-3,1
2013-4,1
2014-12,1
2014-2,2
2014-8,1
2014-9,7
2015-1,1
2015-10,1
2015-11,1
2015-12,2
2015-2,6
2015-4,23
2015-5,24
2015-7,17
2016-10,2
2016-11,7
2016-12,10
2016-4,3
2016-5,3
2016-6,1
2016-7,1
2016-8,7
2017-1,3
2017-10,3
2017-11,6
2017-12,2
2017-2,5
2017-3,10
2017-4,9
2017-5,9
2017-6,7
2017-7,4
2017-8,6
2017-9,2
2018-1,3
2018-10,3
2018-11,13
2018-12,7
2018-3,7
2018-5,1
2018-6,1
2018-8,4
2018-9,4
2019-10,3
2019-11,6
2019-12,1
2019-2,2
2019-3,34
2019-4,1
2019-5,7
2019-6,1
2019-7,2
2019-8,1
2019-9,2
2020-1,2
2020-10,7
2020-11,1
2020-12,1
2020-2,3
2020-3,4
2020-5,19
2020-7,2
